,0
0,1409076.5644817543
1,1419282.0068695988
2,1414245.0469880141
3,1416093.3746375884
4,1415098.1373327065
5,1444004.5056798218
6,1451669.3909255217
7,1456121.4082258814
8,1461808.3107541862
9,1465964.0756940332
10,1466263.9383902627
11,1473989.9810538015
12,1475956.225717808
13,1435450.0021930833
14,1434014.5627461278
15,1435103.6219343997
16,1433801.5819876587
17,1430920.621681943
18,1419277.7191176673
19,1427106.0881489762
20,1413747.5966014403
21,1400749.4035990888
22,1396490.8299769836
23,1382177.2104505533
24,1382844.327139344
25,1366700.1225585125
26,1373816.496994878
27,1373576.9314474594
28,1389908.6161924247
29,1384751.2772481325
30,1376835.1543167061
31,1383018.1701449808
32,1381552.8174751322
33,1363663.2372525297
34,1373879.8434648043
35,1371557.0118616787
36,1346005.9836581538
37,1348948.1796436552
38,1335822.8959443446
39,1330579.0337211443
40,1350107.1396509921
41,1363915.5626575167
42,1377173.0737001186
43,1394592.5918869942
44,1400220.2092947438
45,1400166.578342451
46,1392632.364472135
47,1399630.9995813998
48,1399788.8168242602
49,1399469.9851778043
50,1417987.8779048861
51,1422299.1157089674
52,1433187.3461537145
53,1437687.2999543804
54,1435260.749063078
55,1428584.7087815858
56,1429064.1308371327
57,1422218.0955571907
58,1424958.1440977354
59,1433441.6382286742
60,1429370.5164267246
61,1434897.1158896054
62,1431768.0037251804
