,0
0,1535619.1162827234
1,1553261.5373782497
2,1563867.8066251474
3,1563955.9029141725
4,1562162.092788889
5,1566186.107076671
6,1569274.732241021
7,1570157.2962941255
8,1552492.8957704627
9,1559586.4256996014
10,1570433.1039740525
11,1571487.6865486163
12,1564265.0274380273
13,1555415.1872673405
14,1570431.2961571992
15,1547234.4785761859
16,1561914.8608584076
17,1539753.2721518388
18,1539797.2760529902
19,1565277.9455849936
20,1569099.7610506124
21,1582271.9835949226
22,1597257.6037982858
23,1611631.4324727284
24,1615709.7102368544
25,1619086.8899310827
26,1617391.5721739477
27,1619358.44100193
28,1628273.7770515068
29,1625534.351329439
30,1621395.6130725974
31,1627386.1928381962
32,1623087.2495356346
33,1621746.8965193115
34,1636365.3851579647
35,1632230.8270862654
36,1602293.738922827
37,1619017.255410779
38,1618266.623780982
39,1610155.6343747089
40,1588155.3178427464
41,1593833.2996004166
42,1631673.206927222
43,1637387.9231724371
44,1646287.3013581561
45,1660285.744291381
46,1664125.4467507964
47,1674857.9920648087
48,1673115.7626648939
49,1674982.1252581887
50,1674990.5501882483
51,1660959.9308219594
52,1664288.2856855225
53,1662495.831062333
54,1663120.245087539
55,1651488.4776203113
56,1671853.281340509
57,1681071.9142736993
58,1683511.16211052
59,1684884.3859230527
60,1687380.196360722
61,1709588.2286688844
62,1712750.7075083097
