,0
0,1723327.3531740804
1,1703191.4258244156
2,1706081.7899248826
3,1718755.62503514
4,1707262.8442611115
5,1701157.561392854
6,1694006.3420300826
7,1702143.1076426331
8,1693428.1975792167
9,1707289.1676295046
10,1725856.8887108108
11,1717917.8349445632
12,1676982.9641758357
13,1647889.7574685218
14,1649731.109255994
15,1639774.9894908888
16,1654458.677356783
17,1646639.9301676536
18,1623514.0907218552
19,1637991.7991985634
20,1659110.7109088183
21,1647650.4697847797
22,1625595.6866500303
23,1609183.794119044
24,1605737.6418005442
25,1596485.3557741207
26,1568619.3415274355
27,1591332.1920429207
28,1596780.5761409411
29,1593421.8246477148
30,1552795.9595667562
31,1517062.6735512284
32,1510189.7944381838
33,1539773.3453912614
34,1545785.6079990973
35,1562066.9894277656
36,1587424.578631347
37,1605365.404735039
38,1610436.1056425325
39,1615808.538690117
40,1608061.74925527
41,1619275.1988567975
42,1617246.7480242704
43,1605678.0108732644
44,1612110.6033304404
45,1600547.2388479053
46,1552119.4907045336
47,1505742.5035272266
48,1498601.1281657554
49,1499142.082500526
50,1470017.9190217406
51,1463559.7374140387
52,1481716.9350279132
53,1481245.696796786
54,1483072.7336344526
55,1514823.6660868532
56,1526948.6727020368
57,1518211.4773525782
58,1496482.0022566118
59,1476671.8404298925
60,1485134.614989253
61,1481851.054657948
62,1497869.0752665
