,0
0,1268982.9973836746
1,1396142.1917832436
2,1393327.7521451605
3,1437017.261757403
4,1412768.4507726128
5,1431108.1568381311
6,1395814.2272578864
7,1389485.728112119
8,1432744.7796042378
9,1424141.5295497885
10,1379166.2269453825
11,1399706.5076994079
12,1413106.6163977701
13,1406661.830118
14,1431380.7828064538
15,1459962.3172946242
16,1480799.1934335525
17,1454219.4035301656
18,1415842.574473268
19,1390705.0116327342
20,1416713.3620999663
21,1400033.4843608483
22,1405018.3141161231
23,1425781.1730050342
24,1417587.8311482468
25,1405250.1443328413
26,1352788.2253769408
27,1330851.566988761
28,1352667.9860762828
29,1418755.5004025036
30,1422976.728755168
31,1434162.800057513
32,1430701.6507715068
33,1418713.9509252948
34,1468133.9283859686
35,1502190.4563336347
36,1516825.3492778153
37,1487906.037919269
38,1495707.29366794
39,1516653.8873521483
40,1554892.0089507175
41,1575338.2878650872
42,1648761.6313223862
43,1668502.2007687148
44,1651131.9734099072
45,1627595.6897388198
46,1523325.799712065
47,1514815.3686273308
48,1510717.2635138233
49,1569643.5490765031
50,1561316.9826771733
51,1543695.319227812
52,1547601.5312514086
53,1521379.3465734222
54,1535611.2304029202
55,1493007.3946821708
56,1483527.916162057
57,1466737.8990145326
58,1479202.867615572
59,1492237.9412060273
60,1503361.5057197493
61,1508747.5253586934
62,1522000.7738201958
