,0
0,1339401.8893535705
1,1343385.520464397
2,1351888.0831158855
3,1363896.2788002957
4,1356852.5796543395
5,1367459.412767382
6,1370122.1194922128
7,1384482.0652134907
8,1409573.036542743
9,1411779.4467855776
10,1403427.3323891042
11,1397642.3619402265
12,1397253.5646133458
13,1387455.0799548496
14,1371769.8223930136
15,1384177.1198098536
16,1388270.464762471
17,1386234.891648455
18,1369328.6179979076
19,1375821.8930793083
20,1362549.5373785126
21,1376657.1420663227
22,1390894.1743063368
23,1380919.4018864566
24,1388475.6413336187
25,1402937.6539029588
26,1413187.1038126342
27,1423363.4459242825
28,1414901.629395961
29,1416431.47026922
30,1416883.7702639815
31,1417136.190083118
32,1432687.555893693
33,1436376.7440661262
34,1430456.4061762642
35,1434242.5962178772
36,1435761.9579965768
37,1424013.5258596863
38,1433135.9304651401
39,1433063.5586030406
40,1440047.592592741
41,1455081.590772097
42,1457344.1736633969
43,1459495.1164526914
44,1466905.7526366322
45,1467144.792159682
46,1470114.224532613
47,1469851.1225185187
48,1473231.462067971
49,1467919.4655269056
50,1457317.3682797332
51,1450637.5653105783
52,1441100.962014746
53,1445350.3853089195
54,1436983.4129736298
55,1433633.539513693
56,1419477.9655501666
57,1426461.2946763178
58,1423460.7419854114
59,1413470.3397175227
60,1422948.1028810123
61,1418895.920914669
62,1430928.694233556
