,0
0,1062767.8091255443
1,1055537.9528112465
2,1058867.845741018
3,1065988.3961037353
4,1074136.252463359
5,1076112.413060506
6,1076788.5466237871
7,1083930.3365669164
8,1084635.7172760714
9,1082992.4863627919
10,1082622.4232213905
11,1091538.9652494863
12,1089194.051796331
13,1084654.8257398165
14,1086299.252440533
15,1084050.516459788
16,1080225.8363807134
17,1077575.4512669367
18,1079673.3124844814
19,1080110.853409607
20,1077867.201473079
21,1077390.4682680543
22,1080689.158622801
23,1086651.5868714987
24,1086653.0206982333
25,1087240.2256079481
26,1086745.067625803
27,1090685.3262623197
28,1089425.5525043157
29,1092822.3032575669
30,1089065.0564070377
31,1083219.5831732708
32,1086298.488141831
33,1084482.8648268075
34,1086062.7947235026
35,1091524.1244598965
36,1085838.4402793373
37,1081516.1075654356
38,1081288.6397313585
39,1083110.8762437794
40,1081164.9226792925
41,1078246.0096993183
42,1076049.104557477
43,1081455.0246280087
44,1081397.237741957
45,1079896.9663166287
46,1079363.667978283
47,1066233.389574765
48,1063094.092813578
49,1059249.0408642876
50,1059269.3950993314
51,1064431.7388283603
52,1066081.242740703
53,1068757.363258622
54,1069575.532396037
55,1070322.2431744349
56,1082336.0027896184
57,1079116.8818628292
58,1070603.2671520377
59,1069327.3575750382
60,1074332.741836455
61,1069322.7778866172
62,1068529.1627375244
