,0
0,1363831.808290785
1,1396911.0306860232
2,1407570.9096006162
3,1416051.3368791628
4,1408712.0710497955
5,1409685.1618587016
6,1400119.1177138658
7,1410050.7619701778
8,1427161.7233699993
9,1431526.1928177464
10,1449741.2460329982
11,1436954.1382927133
12,1433344.482771299
13,1428514.4337500841
14,1436278.7044653355
15,1419208.9995930966
16,1422284.5501468421
17,1449347.6901074634
18,1459530.622233411
19,1478551.758001109
20,1483700.9447607945
21,1510584.0870274806
22,1510132.1618554345
23,1496181.5244260193
24,1492066.2648427212
25,1498349.3680183936
26,1506266.8546214004
27,1519366.8733380258
28,1512630.8053197607
29,1525042.214034188
30,1526938.8355232931
31,1527270.770364704
32,1527342.2979247537
33,1540755.3909099316
34,1555431.6858468798
35,1555135.4212606803
36,1552849.1062434255
37,1557290.6254100478
38,1562778.6495988828
39,1565074.360431439
40,1561045.2874433042
41,1556422.757145944
42,1541361.5960444757
43,1525165.6536813867
44,1551686.0532807459
45,1572520.208465185
46,1583061.5913298808
47,1586353.0239289417
48,1595777.7815988334
49,1604503.2411054021
50,1612488.234096266
51,1611835.9690648587
52,1633728.9902616981
53,1633481.5753157695
54,1614961.8038399229
55,1621301.1527367535
56,1614858.9375745063
57,1617437.2641982078
58,1625884.4383907719
59,1637574.6479550977
60,1645600.62517653
61,1653078.9967291048
62,1646533.4863760595
