,0
0,1989320.1694003213
1,2008656.3628241613
2,2016427.2845784381
3,2038972.8711940006
4,2042974.7766201904
5,2059390.1633150198
6,2072122.7042643304
7,2074323.2052052964
8,2084357.7817823137
9,2098885.9418079033
10,2108311.3424280537
11,2120179.231669797
12,2102880.666201374
13,2104130.696522356
14,2043956.2957106638
15,2063514.0054100915
16,2077097.0561336007
17,2059940.0112541192
18,2035867.1738606654
19,2041201.9231740711
20,2084393.8819459334
21,2086170.0876790483
22,2088422.898211011
23,2078412.305739169
24,2076612.974880946
25,2095694.1248093697
26,2109881.65684438
27,2103939.244736784
28,2104632.8331170883
29,2091401.6037046325
30,2109130.1617889544
31,2095497.9135616268
32,2072139.8038620094
33,1980067.5381894098
34,1953420.102398413
35,1924359.0443184706
36,1865066.4056007718
37,1792269.7905937645
38,1876996.3598719344
39,1905786.4325056204
40,1913199.9718245175
41,1891535.7419786365
42,1827386.832290803
43,1744789.5368466382
44,1743044.7476784468
45,1739340.809138884
46,1713018.6442537422
47,1717694.8158935502
48,1717338.2661878949
49,1717338.2661878949
50,1717338.2661878949
51,1717338.2661878949
52,1717338.2661878949
53,1712696.5926481765
54,1712603.584350854
55,1712603.584350854
56,1712603.584350854
57,1711938.6565536868
58,1713435.0886281559
59,1714577.714635175
60,1694513.2697222512
61,1691874.4327202856
62,1695769.5939685765
