date,account_value
2016-07-15,1102436.4655096242
2016-07-18,1105831.9011467746
2016-07-19,1105220.496602282
2016-07-20,1104776.5511248235
2016-07-21,1105431.4029994586
2016-07-22,1104080.4448036067
2016-07-25,1105046.2697097068
2016-07-26,1105653.7488324724
2016-07-27,1106866.3036124706
2016-07-28,1106910.496761135
2016-07-29,1103634.230493036
2016-08-01,1100398.7426767177
2016-08-02,1102885.921486722
2016-08-03,1109382.424509702
2016-08-04,1110826.4069619975
2016-08-05,1110347.151137789
2016-08-08,1107282.192521923
2016-08-09,1111077.6454347563
2016-08-10,1110582.8057260748
2016-08-11,1112234.2497940448
2016-08-12,1109360.553421421
2016-08-15,1103952.9833042438
2016-08-16,1105007.2715744565
2016-08-17,1103037.8107260657
2016-08-18,1104632.978776076
2016-08-19,1110831.8775673362
2016-08-22,1104755.228101691
2016-08-23,1101807.726839158
2016-08-24,1103778.2528314649
2016-08-25,1104540.4146856978
2016-08-26,1102404.8547652354
2016-08-29,1098643.609866196
2016-08-30,1092851.1737041487
2016-08-31,1098617.952848262
2016-09-01,1099163.5830815604
2016-09-02,1097578.7457513271
2016-09-06,1095443.3121232635
2016-09-07,1081209.07562168
2016-09-08,1078070.5067416478
2016-09-09,1075522.9171363777
2016-09-12,1075244.0816948386
2016-09-13,1076751.5635615038
2016-09-14,1077324.7098344818
2016-09-15,1079509.7647803985
2016-09-16,1081483.454215829
2016-09-19,1083385.4971053312
2016-09-20,1096131.1148613335
2016-09-21,1089719.103098171
2016-09-22,1077057.773731336
2016-09-23,1073798.8186237614
2016-09-26,1077794.9639272366
2016-09-27,1074941.7074211724
2016-09-28,1073124.1145133749
2016-09-29,1071786.9416433726
2016-09-30,1068078.1678079255
2016-10-03,1068711.7192079464
2016-10-04,1066386.418665758
2016-10-05,1074626.6365844514
2016-10-06,1060922.5014294365
2016-10-07,1057513.6826783323
2016-10-10,1052650.4335141894
2016-10-11,1061139.2784816455
2016-10-12,1055954.6745752587
2016-10-13,1057767.1979898738
2016-10-14,1057132.7788127456
2016-10-17,1055211.197316195
2016-10-18,1052811.7664987787
2016-10-19,1061583.8836905234
2016-10-20,1056154.651768605
2016-10-21,1055825.2950175777
2016-10-24,1059933.179486168
2016-10-25,1046963.7275250516
2016-10-26,1042780.8930651996
2016-10-27,1038015.7964377728
2016-10-28,1031089.1099108536
2016-10-31,1026018.6738823697
2016-11-01,1023189.1449851764
2016-11-02,1039384.8135079189
2016-11-03,1045812.4130066944
2016-11-04,1056727.321055189
2016-11-07,1069943.2694531602
2016-11-08,1066318.6920897614
2016-11-09,1061775.3932366243
2016-11-10,1056896.2147280448
2016-11-11,1057612.1678549217
2016-11-14,1062797.0983724976
2016-11-15,1070602.9177177832
2016-11-16,1067320.2451232811
2016-11-17,1067681.9494205853
2016-11-18,1064620.3704127034
2016-11-21,1069434.645129304
2016-11-22,1066404.056647227
2016-11-23,1065199.4561731976
2016-11-25,1061741.5318799631
2016-11-28,1049969.1862734691
2016-11-29,1045643.803325694
2016-11-30,1054826.910016755
2016-12-01,1054198.009452711
2016-12-02,1057285.6876023852
2016-12-05,1064093.018582526
2016-12-06,1070071.6570035953
2016-12-07,1074408.76170254
2016-12-08,1084887.9142174495
2016-12-09,1086212.1441137835
2016-12-12,1085543.5448083363
2016-12-13,1084591.682845869
2016-12-14,1082877.076133013
2016-12-15,1083559.3692910224
2016-12-16,1083021.8306331655
2016-12-19,1078427.509154296
2016-12-20,1080189.8013910032
2016-12-21,1084241.470320087
2016-12-22,1080449.371915349
2016-12-23,1078750.024688166
2016-12-27,1074126.4871443969
2016-12-28,1095831.3985796142
2016-12-29,1098742.8394641704
2016-12-30,1102024.8671049313
2017-01-03,1103999.0100712008
2017-01-04,1102785.198826244
2017-01-05,1106407.580462902
2017-01-06,1103749.1582193936
2017-01-09,1106239.4937948324
2017-01-10,1102202.647260252
2017-01-11,1103986.4249284174
2017-01-12,1101665.392113781
2017-01-13,1109171.5535603552
2017-01-17,1105774.3773407352
2017-01-18,1099888.3546381772
2017-01-19,1108016.3790710417
2017-01-20,1108424.2118056857
2017-01-23,1110998.4287502563
2017-01-24,1106661.9274796282
2017-01-25,1107642.6939559467
2017-01-26,1109733.4389072042
2017-01-27,1112320.2401961992
2017-01-30,1132081.2187609577
2017-01-31,1131413.7783135644
2017-02-01,1133630.8283421232
2017-02-02,1133443.2315625965
2017-02-03,1138407.5813784292
2017-02-06,1140945.0330216007
2017-02-07,1141985.478143342
2017-02-08,1143946.6491372895
2017-02-09,1152001.7351409637
2017-02-10,1153110.012384976
2017-02-13,1154699.4239681307
2017-02-14,1164664.8432342033
2017-02-15,1166687.4208514744
2017-02-16,1172229.223615005
2017-02-17,1171368.031555509
2017-02-21,1171860.0345231558
2017-02-22,1171301.1686395537
2017-02-23,1183786.8005429695
2017-02-24,1184061.2213613342
2017-02-27,1181967.1968842358
2017-02-28,1181255.0130598068
2017-03-01,1179984.687306174
2017-03-02,1178223.8804836238
2017-03-03,1178140.7203015217
2017-03-06,1183173.7133457873
2017-03-07,1179311.6653003965
2017-03-08,1176978.7326778264
2017-03-09,1182817.8653975676
2017-03-10,1181384.999791607
2017-03-13,1165635.2363122683
2017-03-14,1164707.9532920397
2017-03-15,1159486.0568428284
2017-03-16,1150382.562543586
2017-03-17,1150553.6136941884
2017-03-20,1147285.526576999
2017-03-21,1141048.2209715426
2017-03-22,1143996.4007464435
2017-03-23,1146713.2150604415
2017-03-24,1145998.6286801056
2017-03-27,1146725.4324349696
2017-03-28,1144469.664332232
2017-03-29,1152789.2293739067
2017-03-30,1148004.5372798708
2017-03-31,1145895.0308110048
2017-04-03,1145181.534869034
2017-04-04,1138825.232998472
2017-04-05,1140711.9323739817
2017-04-06,1140330.321788997
2017-04-07,1139515.5052664515
2017-04-10,1138995.549135858
2017-04-11,1140471.1061652892
2017-04-12,1138938.5810097968
2017-04-13,1136429.6227901154
2017-04-17,1139117.5082556035
2017-04-18,1144116.1261834924
2017-04-19,1145780.0591808702
2017-04-20,1145351.5532595883
2017-04-21,1143013.9702186042
2017-04-24,1146383.4546726283
2017-04-25,1146561.9560036007
2017-04-26,1147774.2524282509
2017-04-27,1150560.8015082837
2017-04-28,1150901.1303381966
2017-05-01,1154789.2985426085
2017-05-02,1155019.0660123008
2017-05-03,1150309.1238632377
2017-05-04,1150610.4241320146
2017-05-05,1152011.9691437448
2017-05-08,1153323.584090041
2017-05-09,1153178.0811580068
2017-05-10,1141703.6749551897
2017-05-11,1133439.0293366236
2017-05-12,1138139.1391144178
2017-05-15,1133586.7503947115
2017-05-16,1138374.7683060905
2017-05-17,1141547.143648947
2017-05-18,1150221.2847445377
2017-05-19,1151276.9837781875
2017-05-22,1151094.6509884072
2017-05-23,1153931.0242480305
2017-05-24,1153018.308641022
2017-05-25,1160095.1764473082
2017-05-26,1161713.2498489511
2017-05-30,1161124.097432073
2017-05-31,1159236.1487358047
2017-06-01,1155354.6764938517
2017-06-02,1145878.3453102724
2017-06-05,1138600.747558896
2017-06-06,1143285.932809946
2017-06-07,1141159.0358022286
2017-06-08,1132283.5095977504
2017-06-09,1132972.844179437
2017-06-12,1139291.9059552418
2017-06-13,1145724.9029308376
2017-06-14,1149571.9516505944
2017-06-15,1160499.5061466566
2017-06-16,1160853.0347246146
2017-06-19,1166403.2179655018
2017-06-20,1158650.9094002834
2017-06-21,1154774.7756568752
2017-06-22,1145022.536336825
2017-06-23,1148042.2305134025
2017-06-26,1146098.1659706836
2017-06-27,1139485.7196848658
2017-06-28,1139939.039133304
2017-06-29,1142400.649940867
2017-06-30,1140910.8559532235
2017-07-03,1150108.8922650276
2017-07-05,1151370.415634597
2017-07-06,1154835.4776998612
2017-07-07,1155229.1774076023
2017-07-10,1148231.0585887046
2017-07-11,1153222.3435639874
2017-07-12,1162254.0360567833
2017-07-13,1161677.2484986454
2017-07-14,1157639.2414896076
2017-07-17,1161526.0799641926
2017-07-18,1159478.7960347985
2017-07-19,1168963.0062990673
2017-07-20,1170654.7402491695
2017-07-21,1174381.701733397
2017-07-24,1181237.9323243632
2017-07-25,1173775.0265902912
2017-07-26,1173472.960690594
2017-07-27,1177507.496434495
2017-07-28,1174780.2657006185
2017-07-31,1171865.6180066136
2017-08-01,1169314.315153306
2017-08-02,1160404.9968611975
2017-08-03,1157291.6416314256
2017-08-04,1170510.612862932
2017-08-07,1174016.5407081796
2017-08-08,1178788.9508093507
2017-08-09,1173155.793337103
2017-08-10,1156150.865552447
2017-08-11,1156986.2458926935
2017-08-14,1169764.4269666828
2017-08-15,1172722.1353586288
2017-08-16,1177062.513397322
2017-08-17,1185244.4319064713
2017-08-18,1182260.752527179
2017-08-21,1176920.8538983956
2017-08-22,1182468.7707785512
2017-08-23,1189228.3302185382
2017-08-24,1195251.640436637
2017-08-25,1192769.698512762
2017-08-28,1192842.277388197
2017-08-29,1195637.5697220352
2017-08-30,1193908.6384912925
2017-08-31,1204408.865320013
2017-09-01,1209839.806606203
2017-09-05,1206148.7276811826
2017-09-06,1203977.628852607
2017-09-07,1207512.4138481978
2017-09-08,1210778.7976004332
2017-09-11,1212065.0650729658
2017-09-12,1209072.0824369723
2017-09-13,1208267.657297612
2017-09-14,1208026.8783159251
2017-09-15,1202163.1749748683
2017-09-18,1198881.8914025426
2017-09-19,1193096.0531109022
2017-09-20,1192457.231495215
2017-09-21,1190363.290374144
2017-09-22,1197659.3227510506
2017-09-25,1203328.5713165093
2017-09-26,1205017.8800889947
2017-09-27,1208315.7857602525
2017-09-28,1208296.9386336436
2017-09-29,1206232.3182707666
2017-10-02,1201144.0800967608
2017-10-03,1202369.8906006468
2017-10-04,1204560.7816830543
2017-10-05,1203891.288245337
2017-10-06,1200074.0477459938
2017-10-09,1205780.3992724065
2017-10-10,1207633.322502385
2017-10-11,1216397.428159644
2017-10-12,1221753.7984474113
2017-10-13,1212189.821263851
2017-10-16,1214413.8087631422
2017-10-17,1219630.1864275527
2017-10-18,1207098.7777520586
2017-10-19,1205891.065271649
2017-10-20,1205712.8735236565
2017-10-23,1206801.9635982525
2017-10-24,1206555.0767395983
2017-10-25,1207431.7047167548
2017-10-26,1207160.276995557
2017-10-27,1207010.0075921775
2017-10-30,1207379.4780563042
2017-10-31,1204772.721220543
2017-11-01,1206069.589306394
2017-11-02,1207230.964116432
2017-11-03,1205254.7028770596
2017-11-06,1203091.4901518128
2017-11-07,1209285.9888320088
2017-11-08,1207830.2971027377
2017-11-09,1209292.04485465
2017-11-10,1218409.3867667774
2017-11-13,1217238.5662906673
2017-11-14,1216818.8543215864
2017-11-15,1219640.161888232
2017-11-16,1226457.034113641
2017-11-17,1233214.1179127884
2017-11-20,1242011.604975203
2017-11-21,1239327.725819199
2017-11-22,1251047.658854603
2017-11-24,1240046.5858293865
2017-11-27,1235142.9910867375
2017-11-28,1238169.4611527747
2017-11-29,1245996.650822817
2017-11-30,1251976.718200087
2017-12-01,1259579.0647754497
2017-12-04,1263313.9522795673
2017-12-05,1262203.3480058208
2017-12-06,1264154.9107460876
2017-12-07,1274717.871615284
2017-12-08,1270546.7441599264
2017-12-11,1267732.8302893017
2017-12-12,1269497.6067382193
2017-12-13,1263230.8354845606
2017-12-14,1263305.3678485726
2017-12-15,1266073.099110278
2017-12-18,1268586.3647527343
2017-12-19,1267623.2399679597
2017-12-20,1269956.1855081809
2017-12-21,1283754.2011894411
2017-12-22,1291943.7856521236
2017-12-26,1295381.188098036
2017-12-27,1295956.3412862911
2017-12-28,1293106.531508432
2017-12-29,1298339.2573910898
2018-01-02,1310925.6786127388
2018-01-03,1322623.8070233392
2018-01-04,1323165.557790888
2018-01-05,1329508.05328919
2018-01-08,1335717.38367794
2018-01-09,1340386.584881902
2018-01-10,1352950.827206212
2018-01-11,1354930.3909134634
2018-01-12,1353699.8030195013
2018-01-16,1360564.3392855849
2018-01-17,1363971.0627523926
2018-01-18,1345419.887187214
2018-01-19,1346463.2485778856
