,0
0,2092015.6874636563
1,2098153.9655616735
2,2104288.243196717
3,2097426.9366177144
4,2094409.2038406956
5,2047831.4685036256
6,2083511.8777114786
7,2049099.504573808
8,2055258.877705183
9,2086312.7409139979
10,2107148.532758261
11,2099500.9659802816
12,2090267.0704061477
13,2043796.6452685005
14,2041752.8616057462
15,2042109.4743935843
16,2040937.483853926
17,2037847.4521671366
18,2040354.0778530482
19,2039834.7197516153
20,2039679.9600251499
21,2042514.6321576068
22,2045402.9744962682
23,2045920.1764267366
24,2049088.4855140783
25,2052346.1634837063
26,2051605.710853681
27,2052100.7828364065
28,2051125.9771297663
29,2051567.573627806
30,2051359.640887111
31,2050687.1385336572
32,2049354.5272167474
33,2053226.7958469333
34,2057386.1688239572
35,2061039.0552762619
36,2094737.7681399377
37,2093921.2013420598
38,2094164.5260766554
39,2094228.1258296967
40,2095151.2726849187
41,2094825.763282372
42,2091337.1125076213
43,2083712.171360204
44,2077681.3351978883
45,2082335.8421805957
46,2082127.1257598926
47,2073276.2053345465
48,2081170.344046672
49,2089494.4567955195
50,2088321.9427258177
51,2068075.826923517
52,2061039.2095648195
53,2043023.9803550171
54,2061687.0067628166
55,2067063.8645843868
56,2065828.1180541327
57,2066457.481777936
58,2071810.570825514
59,2070804.4428399159
60,2074655.353757451
61,2078729.125319993
62,2069446.4238413698
