,0
0,1146098.1659706836
1,1139485.7196848658
2,1139939.039133304
3,1142400.649940867
4,1140910.8559532235
5,1150108.8922650276
6,1151370.415634597
7,1154835.4776998612
8,1155229.1774076023
9,1148231.0585887046
10,1153222.3435639874
11,1162254.0360567833
12,1161677.2484986454
13,1157639.2414896076
14,1161526.0799641926
15,1159478.7960347983
16,1168963.0062990673
17,1170654.7402491695
18,1174381.7017333973
19,1181237.9323243632
20,1173775.0265902912
21,1173472.960690594
22,1177507.496434495
23,1174780.2657006185
24,1171865.6180066136
25,1169314.315153306
26,1160404.9968611975
27,1157291.6416314256
28,1170510.612862932
29,1174016.5407081796
30,1178788.9508093507
31,1173155.793337103
32,1156150.865552447
33,1156986.2458926935
34,1169764.4269666828
35,1172722.1353586288
36,1177062.513397322
37,1185244.4319064713
38,1182260.752527179
39,1176920.8538983956
40,1182468.7707785512
41,1189228.3302185382
42,1195251.640436637
43,1192769.6985127619
44,1192842.2773881967
45,1195637.5697220352
46,1193908.6384912923
47,1204408.8653200127
48,1209839.806606203
49,1206148.7276811826
50,1203977.628852607
51,1207512.4138481978
52,1210778.7976004332
53,1212065.0650729658
54,1209072.0824369723
55,1208267.657297612
56,1208026.8783159251
57,1202163.1749748685
58,1198881.8914025426
59,1193096.0531109022
60,1192457.231495215
61,1190363.290374144
62,1197659.3227510506
