,0
0,1144469.664332232
1,1152789.2293739067
2,1148004.5372798708
3,1145895.0308110048
4,1145181.534869034
5,1138825.232998472
6,1140711.9323739815
7,1140330.321788997
8,1139515.5052664515
9,1138995.549135858
10,1140471.1061652892
11,1138938.5810097968
12,1136429.6227901154
13,1139117.5082556035
14,1144116.1261834924
15,1145780.0591808702
16,1145351.5532595883
17,1143013.9702186042
18,1146383.4546726283
19,1146561.9560036007
20,1147774.2524282509
21,1150560.8015082835
22,1150901.1303381966
23,1154789.2985426085
24,1155019.0660123008
25,1150309.1238632377
26,1150610.4241320146
27,1152011.9691437448
28,1153323.584090041
29,1153178.0811580068
30,1141703.6749551897
31,1133439.0293366236
32,1138139.1391144178
33,1133586.7503947115
34,1138374.7683060903
35,1141547.143648947
36,1150221.2847445377
37,1151276.9837781875
38,1151094.6509884072
39,1153931.0242480305
40,1153018.308641022
41,1160095.1764473082
42,1161713.2498489511
43,1161124.097432073
44,1159236.1487358047
45,1155354.6764938517
46,1145878.3453102724
47,1138600.747558896
48,1143285.932809946
49,1141159.0358022286
50,1132283.5095977504
51,1132972.844179437
52,1139291.9059552418
53,1145724.9029308376
54,1149571.9516505944
55,1160499.5061466566
56,1160853.0347246146
57,1166403.2179655018
58,1158650.9094002834
59,1154774.7756568752
60,1145022.536336825
61,1148042.2305134023
62,1146098.1659706836
