date,account_value
2016-01-04,1000000.0
2016-01-05,1000224.0094879436
2016-01-06,996716.1291697694
2016-01-07,991589.670384484
2016-01-08,990481.049740427
2016-01-11,988154.080357216
2016-01-12,989582.6101679394
2016-01-13,986812.4421293478
2016-01-14,984224.6200425804
2016-01-15,977697.2150372294
2016-01-19,980602.4260158
2016-01-20,973958.929823222
2016-01-21,977647.7812107132
2016-01-22,981066.8365086984
2016-01-25,979798.8788295088
2016-01-26,979956.012348264
2016-01-27,982434.3130636532
2016-01-28,979507.41380362
2016-01-29,992551.3336693924
2016-02-01,997283.3915273966
2016-02-02,987395.3723268136
2016-02-03,982231.1254802268
2016-02-04,987631.1255705104
2016-02-05,983854.8438538598
2016-02-08,963100.5852354232
2016-02-09,963257.3436197634
2016-02-10,970474.325333886
2016-02-11,946843.2389114604
2016-02-12,957778.0334280104
2016-02-16,975579.8241177626
2016-02-17,990727.0041815224
2016-02-18,993413.3043299092
2016-02-19,986256.9102906568
2016-02-22,1000071.4240513592
2016-02-23,992112.6992354702
2016-02-24,979205.662568206
2016-02-25,994769.7383139662
2016-02-26,1004070.94615382
2016-02-29,997122.416369255
2016-03-01,1008415.3019208465
2016-03-02,1016703.7538892452
2016-03-03,1017407.3401500768
2016-03-04,1025899.6829677202
2016-03-07,1024420.055340058
2016-03-08,1021216.1447469514
2016-03-09,1020153.2493689524
2016-03-10,1018642.1997842904
2016-03-11,1030868.0627281746
2016-03-14,1032445.4255022958
2016-03-15,1028067.9663019824
2016-03-16,1033106.3157779638
2016-03-17,1040675.7369287924
2016-03-18,1054944.7151401988
2016-03-21,1059818.6961612103
2016-03-22,1055843.1153851035
2016-03-23,1052012.67172842
2016-03-24,1041923.0366435328
2016-03-28,1049773.640017402
2016-03-29,1047975.1854164512
2016-03-30,1063379.513623926
2016-03-31,1062966.6529523672
2016-04-01,1062973.0435901708
2016-04-04,1068571.4142274682
2016-04-05,1053662.5956732123
2016-04-06,1043749.2955504386
2016-04-07,1043794.295746154
2016-04-08,1045291.341774738
2016-04-11,1046107.8663033172
2016-04-12,1068015.319533591
2016-04-13,1076099.2806905005
2016-04-14,1074480.541235191
2016-04-15,1073003.88206774
2016-04-18,1082458.274425482
2016-04-19,1091745.2038698397
2016-04-20,1088830.1327733684
2016-04-21,1080304.6932522643
2016-04-22,1076679.558226164
2016-04-25,1076989.051770759
2016-04-26,1079538.292667216
2016-04-27,1073723.4937538228
2016-04-28,1062435.7968715
2016-04-29,1070804.7607538598
2016-05-02,1061315.432617791
2016-05-03,1052514.1315310623
2016-05-04,1052495.7718539787
2016-05-05,1047334.0805606042
2016-05-06,1051898.8159289954
2016-05-09,1060849.0652353142
2016-05-10,1062545.333101837
2016-05-11,1055441.682306573
2016-05-12,1049207.7544433055
2016-05-13,1044708.1733285196
2016-05-16,1040025.6255335296
2016-05-17,1039018.80578909
2016-05-18,1039421.6344834438
