,0
0,1378876.7031554207
1,1388056.0155892067
2,1379855.975756506
3,1380333.6040595481
4,1384579.033758178
5,1378030.127583436
6,1377683.5532289285
7,1373311.0382369298
8,1377706.2573783195
9,1380352.8023147858
10,1383647.593802847
11,1387104.6162084877
12,1394843.989006818
13,1408588.4633456122
14,1421722.3911852879
15,1423353.3907571756
16,1424093.9681413844
17,1423762.40718254
18,1422796.1299794589
19,1415400.0057456805
20,1416046.151100183
21,1417469.4776706763
22,1422138.835780337
23,1425159.5101277386
24,1424844.8877052804
25,1410242.9501155748
26,1411481.5519750242
27,1409875.5982396784
28,1406123.834057094
29,1397071.1556401723
30,1384985.0003528865
31,1382507.2151039203
32,1391523.2082306677
33,1410616.1295265155
34,1413939.0668713138
35,1419913.6644689736
36,1433806.2278380329
37,1437169.8625370378
38,1433080.1299093682
39,1429541.9635605735
40,1432515.1162236116
41,1449303.5013000476
42,1452089.412456309
43,1446119.7217954532
44,1452995.5786525812
45,1461208.186625415
46,1459529.0544926503
47,1446078.8339717214
48,1454325.8405953473
49,1466231.3426669454
50,1468366.2702868197
51,1474850.869004253
52,1481729.3217615834
53,1490042.451220141
54,1490857.7009776456
55,1506329.4042099502
56,1501055.279945499
57,1503332.4705785315
58,1500227.1435618454
59,1501842.910473959
60,1493337.649390412
61,1496305.9731807872
62,1501861.4148565538
