date,account_value,account_value,account_value
2016/6/14,1063072.539,1051474.061,1033825.881
2016/6/15,1055042.615,1044305.976,1024992.324
2016/6/16,1057878.649,1047980.617,1029680.86
2016/6/17,1067350.678,1059631.049,1041103.929
2016/6/20,1063931.257,1056658.678,1036772.011
2016/6/21,1064380.321,1058669.795,1039664.589
2016/6/22,1071550.763,1065550.862,1050044.193
2016/6/23,1045881.063,1038345.339,1016588.316
2016/6/24,1025709.419,1017483.456,996151.339
2016/6/27,1035605.749,1025544.142,1006078.071
2016/6/28,1052862.046,1041735.914,1026024.725
2016/6/29,1061061.712,1053631.537,1040770.201
2016/6/30,1070177.425,1062767.809,1050765.816
2016/7/1,1063403.488,1055537.953,1033866.927
2016/7/5,1068418.438,1058867.846,1041428.003
2016/7/6,1080469.806,1065988.396,1053555.94
2016/7/7,1092592.535,1074136.252,1065148.481
2016/7/8,1095922.713,1076112.413,1076605.676
2016/7/11,1096842.107,1076788.547,1081933.003
2016/7/12,1101565.472,1083930.337,1097281.459
2016/7/13,1103784.042,1084635.717,1097782.905
2016/7/14,1102726.706,1082992.486,1099056.716
2016/7/15,1102436.466,1082622.423,1096034.2
2016/7/18,1105831.901,1091538.965,1095160.044
2016/7/19,1105220.497,1089194.052,1092009.845
2016/7/20,1104776.551,1084654.826,1091899.944
2016/7/21,1105431.403,1086299.252,1091882.505
2016/7/22,1104080.445,1084050.516,1091291.937
2016/7/25,1105046.27,1080225.836,1092081.363
2016/7/26,1105653.749,1077575.451,1087421.052
2016/7/27,1106866.304,1079673.312,1087799.055
2016/7/28,1106910.497,1080110.853,1087694.486
2016/7/29,1103634.23,1077867.201,1081564.554
2016/8/1,1100398.743,1077390.468,1081775.935
2016/8/2,1102885.921,1080689.159,1084285.317
2016/8/3,1109382.425,1086651.587,1094318.614
2016/8/4,1110826.407,1086653.021,1100632.126
2016/8/5,1110347.151,1087240.226,1102337.652
2016/8/8,1107282.193,1086745.068,1099155.655
2016/8/9,1111077.645,1090685.326,1102312.693
2016/8/10,1110582.806,1089425.553,1101300.906
2016/8/11,1112234.25,1092822.303,1106321.989
2016/8/12,1109360.553,1089065.056,1104864.171
2016/8/15,1103952.983,1083219.583,1100962.113
2016/8/16,1105007.272,1086298.488,1103813.358
2016/8/17,1103037.811,1084482.865,1102575.933
2016/8/18,1104632.979,1086062.795,1102305.472
2016/8/19,1110831.878,1091524.124,1106548.642
2016/8/22,1104755.228,1085838.44,1099806.614
2016/8/23,1101807.727,1081516.108,1095646.979
2016/8/24,1103778.253,1081288.64,1097739.256
2016/8/25,1104540.415,1083110.876,1098902.153
2016/8/26,1102404.855,1081164.923,1100738.146
2016/8/29,1098643.61,1078246.01,1101420.046
2016/8/30,1092851.174,1076049.105,1100443.763
2016/8/31,1098617.953,1081455.025,1104711.472
2016/9/1,1099163.583,1081397.238,1104301.71
2016/9/2,1097578.746,1079896.966,1105706.261
2016/9/6,1095443.312,1079363.668,1106799.578
2016/9/7,1081209.076,1066233.39,1100295.091
2016/9/8,1078070.507,1063094.093,1094704.709
2016/9/9,1075522.917,1059249.041,1091801.119
2016/9/12,1075244.082,1059269.395,1085140.707
2016/9/13,1076751.564,1064431.739,1088273.786
2016/9/14,1077324.71,1066081.243,1089930.864
2016/9/15,1079509.765,1068757.363,1093334.596
2016/9/16,1081483.454,1069575.532,1093967.627
2016/9/19,1083385.497,1070322.243,1093274.875
2016/9/20,1096131.115,1082336.003,1103304.518
2016/9/21,1089719.103,1079116.882,1096154.469
2016/9/22,1077057.774,1070603.267,1078732.291
2016/9/23,1073798.819,1069327.358,1077906.179
2016/9/26,1077794.964,1074332.742,1083599.877
2016/9/27,1074941.707,1069322.778,1078111.13
2016/9/28,1073124.115,1068529.163,1076157.497
2016/9/29,1071786.942,1064366.575,1080250.232
2016/9/30,1068078.168,1063949.209,1085399.263
2016/10/3,1068711.719,1060939.088,1084495.94
2016/10/4,1066386.419,1038761.634,1085766.245
2016/10/5,1074626.637,1045594.142,1096918.654
2016/10/6,1060922.501,1032913.637,1085820.079
2016/10/7,1057513.683,1031872.557,1082930.467
2016/10/10,1052650.434,1032581.875,1073390.449
2016/10/11,1061139.278,1041619.974,1090580.274
2016/10/12,1055954.675,1035347.611,1083985.43
2016/10/13,1057767.198,1039260.698,1096546.158
2016/10/14,1057132.779,1037914.437,1107235.337
2016/10/17,1055211.197,1036334.791,1110170.971
2016/10/18,1052811.766,1040541.285,1104193.525
2016/10/19,1061583.884,1046628.134,1111978.66
2016/10/20,1056154.652,1045003.308,1111529.956
2016/10/21,1055825.295,1043659.595,1112437.762
2016/10/24,1059933.179,1044039.494,1119745.948
2016/10/25,1046963.728,1034890.55,1114574.498
2016/10/26,1042780.893,1031241.598,1116115.925
2016/10/27,1038015.796,1026201.704,1114261.451
2016/10/28,1031089.11,1021336.853,1108857.255
2016/10/31,1026018.674,1016710.697,1107653.852
2016/11/1,1023189.145,1014784.109,1102765.772
2016/11/2,1039384.814,1030409.827,1123906.776
2016/11/3,1045812.413,1036746.907,1128441.641
2016/11/4,1056727.321,1043039.852,1153460.413
2016/11/7,1069943.269,1054172.485,1199354.138
2016/11/8,1066318.692,1048796.806,1209394.863
2016/11/9,1061775.393,1049802.227,1235184.11
2016/11/10,1056896.215,1050112.98,1238715.792
2016/11/11,1057612.168,1049787.174,1231996.13
2016/11/14,1062797.098,1053369.96,1231717.688
2016/11/15,1070602.918,1050913.696,1241285.284
2016/11/16,1067320.245,1049108.151,1238324.035
2016/11/17,1067681.949,1052869.235,1245050.499
2016/11/18,1064620.37,1053374.095,1248236.21
2016/11/21,1069434.645,1060124.336,1253670.194
2016/11/22,1066404.057,1058593.357,1245370.242
2016/11/23,1065199.456,1061533.916,1256238.431
2016/11/25,1061741.532,1059491.91,1279371.92
2016/11/28,1049969.186,1050455.415,1300080.271
2016/11/29,1045643.803,1048637.522,1302043.825
2016/11/30,1054826.91,1051125.637,1309074.321
2016/12/1,1054198.009,1049199.38,1316588.106
2016/12/2,1057285.688,1057460.949,1330114.174
2016/12/5,1064093.019,1067462.78,1354363.303
2016/12/6,1070071.657,1070725.966,1358234.503
2016/12/7,1074408.762,1076607.232,1356736.903
2016/12/8,1084887.914,1086387.51,1357504.561
2016/12/9,1086212.144,1086378.193,1360490.69
2016/12/12,1085543.545,1082886.614,1374091.647
2016/12/13,1084591.683,1079418.589,1367384.775
2016/12/14,1082877.076,1086187.201,1358121.234
2016/12/15,1083559.369,1087350.941,1372053.412
2016/12/16,1083021.831,1083284.04,1367371.905
2016/12/19,1078427.509,1081019.971,1365893.914
2016/12/20,1080189.801,1080572.222,1364263.685
2016/12/21,1084241.47,1084169.76,1370834.835
2016/12/22,1080449.372,1078185.942,1371558.527
2016/12/23,1078750.025,1075264.898,1357194.698
2016/12/27,1074126.487,1070063.064,1355534.821
2016/12/28,1095831.399,1079349.336,1367188.652
2016/12/29,1098742.839,1080996.228,1363471.389
2016/12/30,1102024.867,1083422.045,1375659.481
2017/1/3,1103999.01,1086053.903,1372976.205
2017/1/4,1102785.199,1083198.68,1367545.75
