,0,0,0
0,1000000,1000000,1000000
1,999920.3475,1000050.856,999996.0302
2,999772.2629,1000222.643,999993.0416
3,999238.1425,1000031.979,999836.1819
4,999423.3696,1000084.821,1000128.488
5,1000200.142,1000889.72,1000986.363
6,998621.8839,999481.7407,998948.4261
7,999595.2729,999897.7054,999593.9441
8,1001469.804,1001283.04,1001557.524
9,1000653.446,1000696.791,1000977.064
10,1001888.19,1002175.327,1002404.581
11,1001090.363,1002111.689,1001554.972
12,998910.2516,1000271.887,999150.9601
13,991797.1615,994932.9792,991510.5236
14,989298.5763,993173.0956,988957.0114
15,987859.5495,991643.02,987135.2742
16,988209.6583,991940.9208,987598.1855
17,988185.0642,992645.9493,988124.0456
18,986585.741,990740.2216,985700.9125
19,985820.5514,989868.7754,983379.47
20,988424.3346,993304.8354,987548.3185
21,988105.9535,991293.8921,987338.5061
22,983247.7944,985123.5174,980493.1845
23,977243.4117,976808.7637,971235.3826
24,979226.1655,979931.6002,973939.6189
25,981658.504,982627.8578,977306.0236
26,981245.9622,981248.4263,976791.2651
27,982591.5307,982986.0007,979368.494
28,982166.3175,982024.9481,977405.6081
29,988236.8055,988515.5801,984505.5295
30,991196.364,993296.407,990219.8942
31,993833.2009,996067.1664,993976.3706
32,995765.4202,997428.5336,996731.812
33,996971.0533,999081.48,998854.4139
34,992768.9063,996261.5079,994035.7384
35,994904.0198,998257.4756,997065.1715
36,990743.713,994078.853,993313.3478
37,995862.8544,999573.3549,1000547.707
38,1000899.816,1005092.628,1005975.05
39,1004072.424,1007963.686,1008848.409
40,1002568.498,1006592.639,1006971.783
41,1000347.394,1004343.072,1004058.956
42,1005986.93,1010702.256,1011619.223
43,1011963.149,1015250.235,1017791.871
44,1013435.333,1015894.347,1018241.319
45,1014995.219,1017056.487,1020498.54
46,1014937.426,1018353.767,1019646.74
47,1018731.575,1024596.9,1024494.46
48,1016240.376,1022677.031,1019601.364
49,1022089.927,1027458.544,1025612.681
50,1026819.73,1030088.823,1031930.486
51,1030758.434,1032397.839,1035262.746
52,1030530.021,1033442.14,1040411.577
53,1030169.685,1032837.96,1039382.227
54,1038060.918,1037453.743,1044315.786
55,1037426.026,1037757.731,1045578.102
56,1041186.1,1042010.848,1050285.959
57,1036869.214,1037277.052,1045436.703
58,1037522.5,1037306.469,1045590.585
59,1039284.628,1040110.178,1048261.491
60,1035038.686,1036646.54,1043864.169
61,1036257.423,1037311.163,1042912.627
62,1039580.914,1040287.812,1045447.071
63,1040972.605,1042189.078,1048698.246
64,1040258.745,1038824.668,1046533.67
65,1037063.861,1037441.3,1043126.688
66,1046530.39,1046631.304,1050445.625
67,1053617.504,1053279.181,1055483.581
68,1051199.158,1054403.542,1054315.01
69,1064143.906,1062376.578,1062937.841
70,1070712.213,1065057.837,1065322.339
71,1067785.462,1061116.309,1061912.517
72,1060065.21,1057705.895,1059074.081
73,1071191.671,1066421.606,1068365.086
74,1072491.299,1067433.131,1067346.124
75,1072788.697,1065566.227,1062229.956
76,1083801.14,1078970.76,1072075.419
77,1088603.613,1087735.444,1075209.49
78,1073119.901,1072073.027,1061842.798
79,1062957.24,1061287.405,1055153.661
80,1075080.764,1075715.607,1070873.134
