,0
0,1163519.2030570193
1,1160404.6299278555
2,1158166.6097756033
3,1157870.2092807177
4,1156142.0213511076
5,1168246.0654785442
6,1168784.3955072754
7,1169550.8299890219
8,1170070.3728384052
9,1162485.287091368
10,1165138.6310127717
11,1171719.5668150843
12,1166970.1064621098
13,1161361.594747029
14,1172241.7749023384
15,1174613.1095132895
16,1180376.8863160254
17,1191048.9580599428
18,1198625.0609452666
19,1208563.1627720466
20,1204633.2873297653
21,1199401.3195414315
22,1202733.8635861154
23,1201407.1628277714
24,1201413.494721761
25,1202551.3159599837
26,1196314.428287273
27,1188881.8007260866
28,1193258.0957131009
29,1191598.9706692453
30,1189350.356299969
31,1182209.6154862985
32,1176038.7980638505
33,1174772.8612985536
34,1184718.2492516
35,1186974.1246134166
36,1192846.7715269446
37,1202925.9048911575
38,1198500.6571548595
39,1194063.3734355106
40,1198404.0600510673
41,1203713.5317996372
42,1210115.8063413696
43,1214531.2938883195
44,1223800.8303346778
45,1231953.2769354614
46,1226628.8613341344
47,1237638.884918173
48,1240179.8940448153
49,1243591.4712683316
50,1249835.6054903404
51,1248219.6106621388
52,1254676.2411383565
53,1261958.269706821
54,1265091.5003981916
55,1262439.9132475466
56,1267332.4376939964
57,1265744.3792209872
58,1263058.3734002234
59,1261672.073928982
60,1263252.7930127906
61,1260019.3435771954
62,1263090.1085280094
