,0
0,1000000.0
1,1000493.6123378259
2,998654.3843077709
3,996045.1761002535
4,994347.0289306297
5,992149.4732395862
6,993894.7129973317
7,992775.1939183578
8,991400.5008635179
9,985075.0080134466
10,989541.9208696242
11,979916.5551792993
12,984562.8891396732
13,985989.1839890026
14,984551.0513787627
15,985637.5493831299
16,985762.2661464883
17,983241.952458556
18,990010.4130025725
19,994259.5400225695
20,988758.6157629043
21,985178.1891887042
22,988540.9303080189
23,982261.6136625351
24,970293.8141545228
25,971982.5979904952
26,976581.4342726304
27,962075.8225476274
28,969057.5424775905
29,981229.6362725246
30,992659.1068196918
31,995815.1055389235
32,990200.3219389033
33,1002009.6410675573
34,998054.4702200091
35,986760.6079410198
36,998999.4655816832
37,1004850.3724586018
38,997690.129321113
39,1004246.4787440464
40,1009122.5768246788
41,1007468.081624445
42,1012911.1066003172
43,1012801.252975864
44,1012271.5546723393
45,1016248.8504917552
46,1017188.7589446775
47,1029678.7332129516
48,1032768.2060590085
49,1029703.9379381671
50,1035842.9962201316
51,1041746.1506552377
52,1048397.4069588615
53,1050832.8993402028
54,1052419.0365949061
55,1048204.6245847795
56,1043123.6500944068
57,1046847.1356138877
58,1046088.7979053336
59,1058645.278861832
60,1056326.433962764
61,1055019.2041360138
62,1060774.107185533
